3_code,3_Tikina,2_code,2_District,1_code,1_Province,0_code,0_National
FJ10201,Bua,FJ102,Bua,FJ1,Northern,FJ,Fiji Islands
FJ10202,Vuya,FJ102,Bua,FJ1,Northern,FJ,Fiji Islands
FJ10203,Wainunu,FJ102,Bua,FJ1,Northern,FJ,Fiji Islands
FJ10301,Cakaudrove,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands
FJ10302,Nasavusavu,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands
FJ10303,Rabi,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands
FJ10304,Saqani,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands
FJ10305,Tunuloa,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands
FJ10306,Vaturova,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands
FJ10307,Wailevu,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands
FJ10308,Wainikeli,FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands
FJ10701,Cikobia,FJ107,Macuata,FJ1,Northern,FJ,Fiji Islands
FJ10702,Dogotoki,FJ107,Macuata,FJ1,Northern,FJ,Fiji Islands
FJ10703,Labasa,FJ107,Macuata,FJ1,Northern,FJ,Fiji Islands
FJ10704,Macuata,FJ107,Macuata,FJ1,Northern,FJ,Fiji Islands
FJ10705,Sasa,FJ107,Macuata,FJ1,Northern,FJ,Fiji Islands
FJ20101,Ba,FJ201,Ba,FJ2,Western,FJ,Fiji Islands
FJ20102,Magodro,FJ201,Ba,FJ2,Western,FJ,Fiji Islands
FJ20103,Nadi,FJ201,Ba,FJ2,Western,FJ,Fiji Islands
FJ20104,Naviti,FJ201,Ba,FJ2,Western,FJ,Fiji Islands
FJ20105,Nawaka,FJ201,Ba,FJ2,Western,FJ,Fiji Islands
FJ20106,Tavua,FJ201,Ba,FJ2,Western,FJ,Fiji Islands
FJ20107,Vuda,FJ201,Ba,FJ2,Western,FJ,Fiji Islands
FJ20108,Yasawa,FJ201,Ba,FJ2,Western,FJ,Fiji Islands
FJ20801,Baravi,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands
FJ20802,Cuvu,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands
FJ20803,Malolo,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands
FJ20804,Malomalo,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands
FJ20805,Nasigatoka,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands
FJ20806,Navosa,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands
FJ20807,Ruwailevu,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands
FJ20808,Vatulele,FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands
FJ21101,Nakorotubu,FJ211,Ra,FJ2,Western,FJ,Fiji Islands
FJ21102,Nalawa,FJ211,Ra,FJ2,Western,FJ,Fiji Islands
FJ21103,Rakiraki,FJ211,Ra,FJ2,Western,FJ,Fiji Islands
FJ21104,Saivou,FJ211,Ra,FJ2,Western,FJ,Fiji Islands
FJ30401,Nabukelevu,FJ304,Kadavu,FJ3,Eastern,FJ,Fiji Islands
FJ30402,Naceva,FJ304,Kadavu,FJ3,Eastern,FJ,Fiji Islands
FJ30403,Nakasaleka,FJ304,Kadavu,FJ3,Eastern,FJ,Fiji Islands
FJ30404,Tavuki,FJ304,Kadavu,FJ3,Eastern,FJ,Fiji Islands
FJ30501,Cicia,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands
FJ30502,Kabara,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands
FJ30503,Lakeba,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands
FJ30504,Lomaloma,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands
FJ30505,Matuku,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands
FJ30506,Moala,FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands
